date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:24	133/133	---M-Z	200	added ('OK')	text/plain	date:Fri,%2006%20Feb%202026%2017:30:24%20GMT	https://kaabworldwidetarot.shop/robots.txt		(from )
23:00:24	271124/271124	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Feb%202026%2017:30:24%20GMT	https://kaabworldwidetarot.shop/	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/index.html	(from )
23:00:25	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2006%20Feb%202026%2017:30:25%20GMT	https://kaabworldwidetarot.shop/xmlrpc.php	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/xmlrpc.php	(from https://kaabworldwidetarot.shop/)
23:00:25	80163/80163	---M-Z	200	added ('OK')	text/css	etag:%2213923-68e696fa-530556f50622063;gz%22	https://kaabworldwidetarot.shop/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.5.2	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend16b9.css	(from https://kaabworldwidetarot.shop/)
23:00:25	1241/1241	---M-Z	200	added ('OK')	text/css	etag:%224d9-690f0726-94e16b03f1a41350;gz%22	https://kaabworldwidetarot.shop/wp-content/plugins/gutenkit-blocks-addon/build/gutenkit/frontend-common.css?ver=a28538744097629e283d	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/wp-content/plugins/gutenkit-blocks-addon/build/gutenkit/frontend-common9242.css	(from https://kaabworldwidetarot.shop/)
23:00:25	577/577	---M-Z	200	added ('OK')	text/css	etag:%22241-698289f3-f1bbbe4f44cb60c4;gz%22	https://kaabworldwidetarot.shop/wp-content/plugins/popup-builder-block/build/popup/global.css?ver=2.2.3	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/wp-content/plugins/popup-builder-block/build/popup/global950a.css	(from https://kaabworldwidetarot.shop/)
23:00:25	32541/32541	---MCZ	200	added ('OK')	application/rss+xml	etag:%2232957caa98dadb22f631d957b5a436bf%22	https://kaabworldwidetarot.shop/feed/	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/feed/index.html	(from https://kaabworldwidetarot.shop/)
23:00:26	2947/2947	---M-Z	200	added ('OK')	text/css	etag:%22b83-697f8b8c-17edb9e6830bf17e;gz%22	https://kaabworldwidetarot.shop/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.4	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/wp-content/plugins/contact-form-7/includes/css/styles1b46.css	(from https://kaabworldwidetarot.shop/)
23:00:26	67949/67949	---M-Z	200	added ('OK')	text/css	etag:%221096d-6933ef99-6b27749e3a07c88e;gz%22	https://kaabworldwidetarot.shop/wp-content/plugins/wp-social/assets/css/frontend.css?ver=3.1.4	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/wp-content/plugins/wp-social/assets/css/frontendaeb9.css	(from https://kaabworldwidetarot.shop/)
23:00:26	749/749	---M-Z	200	added ('OK')	application/rss+xml	etag:%2232957caa98dadb22f631d957b5a436bf%22	https://kaabworldwidetarot.shop/comments/feed/	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/comments/feed/index.html	(from https://kaabworldwidetarot.shop/)
23:00:26	43858/43858	---M-Z	200	added ('OK')	text/css	etag:%22ab52-6933ef99-77c686d1f78ad9db;gz%22	https://kaabworldwidetarot.shop/wp-content/plugins/wp-social/assets/css/font-icon.css?ver=3.1.4	D:/idris/New-Site/kaabworldwidetarot-local/kaabworldwidetarot.shop/wp-content/plugins/wp-social/assets/css/font-iconaeb9.css	(from https://kaabworldwidetarot.shop/)
